"sensi";"sensi_val";"recorder";"rep";"ID";"contacts";"relative_contacts"
"high0";1,1;"blg";1;"blg_high0";98;0,296969696969697
"high0";1,1;"bcd";1;"bcd_high0";10;0,0303030303030303
"high0";1,1;"sm4";1;"sm4_high0";88;0,266666666666667
"high0";1,1;"adm";1;"adm_high0";139;0,421212121212121
"high1";1,2;"blg";1;"blg_high1";43;0,13030303030303
"high1";1,2;"bcd";1;"bcd_high1";20;0,0606060606060606
"high1";1,2;"sm4";1;"sm4_high1";229;0,693939393939394
"high1";1,2;"adm";1;"adm_high1";165;0,5
"high2";1,3;"blg";1;"blg_high2";179;0,542424242424242
"high2";1,3;"bcd";1;"bcd_high2";41;0,124242424242424
"high2";1,3;"sm4";1;"sm4_high2";201;0,609090909090909
"high2";1,3;"adm";1;"adm_high2";53;0,160606060606061
"high3";1,4;"blg";1;"blg_high3";330;1
"high3";1,4;"bcd";1;"bcd_high3";19;0,0575757575757576
"high3";1,4;"sm4";1;"sm4_high3";319;0,966666666666667
"high3";1,4;"adm";1;"adm_high3";81;0,245454545454545
"high4";1,5;"blg";1;"blg_high4";179;0,542424242424242
"high4";1,5;"bcd";1;"bcd_high4";21;0,0636363636363636
"high4";1,5;"sm4";1;"sm4_high4";211;0,639393939393939
"high4";1,5;"adm";1;"adm_high4";200;0,606060606060606
"low0";0,9;"blg";1;"blg_low0";137;0,415151515151515
"low0";0,9;"bcd";1;"bcd_low0";24;0,0727272727272727
"low0";0,9;"sm4";1;"sm4_low0";202;0,612121212121212
"low0";0,9;"adm";1;"adm_low0";46;0,139393939393939
"low1";0,8;"blg";1;"blg_low1";58;0,175757575757576
"low1";0,8;"bcd";1;"bcd_low1";10;0,0303030303030303
"low1";0,8;"sm4";1;"sm4_low1";25;0,0757575757575758
"low1";0,8;"adm";1;"adm_low1";51;0,154545454545455
"low2";0,7;"blg";1;"blg_low2";68;0,206060606060606
"low2";0,7;"bcd";1;"bcd_low2";7;0,0212121212121212
"low2";0,7;"sm4";1;"sm4_low2";80;0,242424242424242
"low2";0,7;"adm";1;"adm_low2";12;0,0363636363636364
"low3";0,6;"blg";1;"blg_low3";96;0,290909090909091
"low3";0,6;"bcd";1;"bcd_low3";26;0,0787878787878788
"low3";0,6;"sm4";1;"sm4_low3";40;0,121212121212121
"low3";0,6;"adm";1;"adm_low3";49;0,148484848484848
"low4";0,5;"blg";1;"blg_low4";84;0,254545454545455
"low4";0,5;"bcd";1;"bcd_low4";21;0,0636363636363636
"low4";0,5;"sm4";1;"sm4_low4";87;0,263636363636364
"low4";0,5;"adm";1;"adm_low4";42;0,127272727272727
"medium";1;"blg";1;"blg_medium";167;0,506060606060606
"medium";1;"bcd";1;"bcd_medium";8;0,0242424242424242
"medium";1;"sm4";1;"sm4_medium";81;0,245454545454545
"medium";1;"adm";1;"adm_medium";123;0,372727272727273
